[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8730
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8610
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8760
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8670
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8790
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8820
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8850
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8880
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8910
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8940
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9000
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9030
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 8970
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9060
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9150
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9090
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9210
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9180
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9240
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9390
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9270
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9420
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9300
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9480
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9330
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9360
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9450
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9630
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9510
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9600
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9660
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9540
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9690
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9750
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9720
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9780
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9840
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9960
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9900
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9930
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9810
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 9870
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10020
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10170
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10110
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10080
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10050
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10200
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10140
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10230
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10260
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10320
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10380
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10350
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10410
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10290
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10440
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10530
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10470
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10500
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10590
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10620
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10650
[20:19:18] 144.167.223.232 | SYN_FLOOD | Score: 10560
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10680
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10740
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10800
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10770
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10860
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10710
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10920
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10890
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10950
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 10980
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11010
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11040
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11070
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11130
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11160
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11190
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11100
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11220
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11280
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11340
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11250
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11370
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11400
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11430
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11310
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11550
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11460
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11490
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11520
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11640
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11670
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11580
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11610
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11700
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11730
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11760
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11790
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11820
[20:19:19] 144.167.223.232 | SYN_FLOOD | Score: 11850
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12000
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 11970
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 11940
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12030
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12090
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12120
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12060
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12150
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12270
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12240
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12330
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12180
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12300
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12360
[20:19:22] 144.167.223.232 | SYN_FLOOD | Score: 12390
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12660
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12510
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12420
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12600
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12540
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12480
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12570
[20:19:23] 144.167.223.232 | SYN_FLOOD | Score: 12630
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12780
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12840
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12810
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12870
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12900
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12930
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12960
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 12990
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13020
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13110
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13050
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13080
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13140
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13200
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13230
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13290
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13260
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13350
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13320
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13380
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13410
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13440
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13470
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13500
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13530
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13560
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13590
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13620
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13650
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13680
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13740
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13770
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13710
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13800
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13860
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13830
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13890
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13950
[20:19:24] 144.167.223.232 | SYN_FLOOD | Score: 13920
